bnk_trn_ref|exec_dt|debit_account_no|credit_account_no|amount|trn_desc
P56979S14972|2015-04-24 00:00:00|CH0231003557422817970|CH4702748652329494055|23777.71|Payment of invoice(s) Contreras, Myles
A54862F23466|2013-02-01 00:00:00|CH0240522825785605571|CH5016167931570684520|29837.52|Payment of invoice(s) Lighthouse Time
R74615M95702|2013-03-08 00:00:00|CH0250222882407221959|CH7557621605158040369|2576.89|Payment of invoice(s) Harper, Clementine
H23503Z17127|2013-03-08 00:00:00|CH0246225152084380466|CH0619016605702832070|10356.49|Payment of invoice(s) Pattern Time
J21362U26047|2016-09-16 00:00:00|CH0224806721788063113|CH9436656786623704266|22665.99|Payment of invoice(s) Sign of the Times Advertising Agency
K29576E88836|2009-10-16 00:00:00|CH0209336657619956939|CH6155222698252816217|28288.25|Payment of invoice(s) Hourglass Etching
P41852M47918|2013-05-24 00:00:00|CH0228112131218563569|CH5088079216680893260|9513.92|Payment of invoice(s) Sapphire Time
B20621L58185|2011-03-25 00:00:00|CH0210540037202341452|CH3514647971914614633|6876.02|Payment of invoice(s) Design of the Times
D90609E79636|2016-02-26 00:00:00|CH0234515455801405036|CH9460991585208143427|12884.92|Payment of invoice(s) Zentime
W94031M72778|2015-02-06 00:00:00|CH0201609149519657198|CH9204116784019962130|27185.36|Payment of invoice(s) OneStop Time
K23479T27391|2011-12-16 00:00:00|CH0228112131218563569|CH7662760544240052921|24207.15|Payment of invoice(s) Zytrex
W72594O59078|2012-06-29 00:00:00|CH0240900251892652380|CH5966588287840537342|43204.44|Payment of invoice(s) Ultrimax
A85750O62140|2013-05-24 00:00:00|CH0215694012443589673|CH5088079216680893260|4298.39|Payment of invoice(s) Sapphire Time
W28258O17822|2011-04-29 00:00:00|CH0250222882407221959|CH9467652252739966512|1585.29|Payment of invoice(s) Americas Time
W66021R96437|2012-02-03 00:00:00|CH0234515455801405036|CH4296421323470854890|4011.52|Payment of invoice(s) Time  Hands
U10734W93244|2013-03-22 00:00:00|CH0214401606376708007|CH2776009455955283091|27615.21|Payment of invoice(s) Aeora
P84732E14808|2014-12-12 00:00:00|CH0210540037202341452|CH9681610501955543047|13577.68|Payment of invoice(s) Bernard, Willa
K29927N59326|2011-06-10 00:00:00|CH0250222882407221959|CH0309890016342600758|10442.99|Payment of invoice(s) Time  Nano
B51011N78966|2016-01-22 00:00:00|CH0237130733821422792|CH3276374414353537218|22031.59|Payment of invoice(s) Time  Iron
H37474E80145|2015-05-08 00:00:00|CH0228112131218563569|CH4702748652329494055|9829.68|Payment of invoice(s) Contreras, Myles
X54164W78227|2012-10-05 00:00:00|CH0250222882407221959|CH7455625517759336763|33280.40|Payment of invoice(s) Holland, Ray
C38826X50523|2012-06-29 00:00:00|CH0236918036799637910|CH8119090900291807523|51929.38|Payment of invoice(s) Techmania
A59214U25844|2015-04-10 00:00:00|CH0223943235385824696|CH3660100928827682021|19731.20|Payment of invoice(s) Semantic Time
W12614V87094|2011-03-25 00:00:00|CH0215694012443589673|CH3514647971914614633|2007.19|Payment of invoice(s) Design of the Times
T37518S23322|2012-06-22 00:00:00|CH0219850911967777927|CH5966588287840537342|14192.90|Payment of invoice(s) Ultrimax
X19369N25456|2011-04-08 00:00:00|CH0240900251892652380|CH8619980845374894676|18954.49|Payment of invoice(s) Tucker, Amos
U99823M91449|2014-10-03 00:00:00|CH0209049493360060612|CH9657399602049395479|8050.69|Payment of invoice(s) Candid Time
H60645O35227|2010-02-05 00:00:00|CH0218229960514553128|CH3068272525733417130|2495.33|Payment of invoice(s) Realtime Time
C45940S57345|2012-06-29 00:00:00|CH0206550793273688901|CH9298162976623746233|13996.11|Payment of invoice(s) Midnight Time
S23737U61998|2012-04-13 00:00:00|CH0224806721788063113|CH8988352604215975853|31357.04|Payment of invoice(s) Time  Urban
V22973E69749|2012-11-09 00:00:00|CH0200974687337280877|CH1813436760999770384|12453.65|Payment of invoice(s) Technology Wizard
T14202X58341|2011-11-18 00:00:00|CH0207993305365962502|CH1212759137980150044|3213.59|Payment of invoice(s) Plasma Time
D51431S83824|2011-03-25 00:00:00|CH0206003498982695304|CH3514647971914614633|14328.38|Payment of invoice(s) Design of the Times
H80792E55678|2011-12-09 00:00:00|CH0200974687337280877|CH9406142899865775066|61641.49|Payment of invoice(s) ColorOptic
G23658B74733|2015-12-11 00:00:00|CH0234139622897026693|CH2825850289822331123|3534.62|Payment of invoice(s) Strickland, Leroy
L26190G42688|2014-01-31 00:00:00|CH0228315136202810440|CH8515468004216856140|2733.22|Payment of invoice(s) SecondTime
W29435Z38422|2012-05-11 00:00:00|CH0204884126669364759|CH8988352604215975853|13635.79|Payment of invoice(s) Time  Urban
X24927O86499|2011-07-22 00:00:00|CH0214151982011227631|CH5113429654953071542|12710.97|Payment of invoice(s) Technohabitat
D76335U34672|2014-04-25 00:00:00|CH0246225152084380466|CH1358263686244215866|2286.73|Payment of invoice(s) Genmex
C33868S64557|2008-05-23 00:00:00|CH0201609149519657198|CH4691395643275573987|7485.39|Payment of invoice(s) BizTech
X66125U67711|2011-12-02 00:00:00|CH0234515455801405036|CH1443469204088447401|20833.32|Payment of invoice(s) Neighborhood Time
W43898C48957|2012-06-22 00:00:00|CH0250407194135228410|CH5966588287840537342|5500.50|Payment of invoice(s) Ultrimax
U67600G41413|2015-11-20 00:00:00|CH0209336657619956939|CH1006820597721560021|38686.65|Payment of invoice(s) Time  Cupid
D69857F80518|2016-01-15 00:00:00|CH0210540037202341452|CH9797517066913638834|53371.57|Payment of invoice(s) OpenSource Time
A57030F65150|2012-11-16 00:00:00|CH0234139622897026693|CH1813436760999770384|19625.32|Payment of invoice(s) Technology Wizard
P80926C67320|2015-04-17 00:00:00|CH0206003498982695304|CH3660100928827682021|14983.06|Payment of invoice(s) Semantic Time
N33597N48049|2012-09-14 00:00:00|CH0250222882407221959|CH8988352604215975853|7887.60|Payment of invoice(s) Time  Urban
U13890G69552|2011-09-30 00:00:00|CH0227578004931115071|CH5331058502318833724|14546.46|Payment of invoice(s) Farrell, Samantha
P36545S70526|2014-05-09 00:00:00|CH0228315136202810440|CH6525051052542047010|5383.44|Payment of invoice(s) Suburban Time
T68365N57236|2010-06-25 00:00:00|CH0234143718846267688|CH2942996515512723075|2688.53|Payment of invoice(s) Wells, Julie
K52073H35606|2014-01-31 00:00:00|CH0230382548836512713|CH8515468004216856140|67129.45|Payment of invoice(s) SecondTime
T83747D87600|2014-05-23 00:00:00|CH0210540037202341452|CH7794913888074892430|35984.06|Payment of invoice(s) Time  Utopia
V65781J19196|2012-05-25 00:00:00|CH0234139622897026693|CH8119090900291807523|63729.28|Payment of invoice(s) Techmania
J70173E99414|2011-01-28 00:00:00|CH0227578004931115071|CH6040350716936780372|19957.16|Payment of invoice(s) Technoracks
X75698L16280|2014-03-21 00:00:00|CH0228315136202810440|CH4385645604347036714|15846.65|Payment of invoice(s) Just Time
F18280L33645|2012-02-24 00:00:00|CH0240900251892652380|CH2284113576710807414|8555.08|Payment of invoice(s) NorthStar Time
K26436D82848|2013-09-06 00:00:00|CH0209336657619956939|CH5113429654953071542|14800.37|Payment of invoice(s) Technohabitat
M35138F26513|2012-03-02 00:00:00|CH0248281695366099688|CH2284113576710807414|608.02|Payment of invoice(s) NorthStar Time
C19209A82221|2008-09-05 00:00:00|CH0234139622897026693|CH7593862183954112384|21752.98|Payment of invoice(s) Ancestor Dreamtime
U89073F93741|2015-01-09 00:00:00|CH0250407194135228410|CH1358263686244215866|10765.01|Payment of invoice(s) Genmex
V15274T50220|2014-09-26 00:00:00|CH0251073611707606644|CH9657399602049395479|4254.15|Payment of invoice(s) Candid Time
T62043V38533|2011-01-28 00:00:00|CH0223943235385824696|CH6040350716936780372|7866.00|Payment of invoice(s) Technoracks
S65719E56025|2015-02-20 00:00:00|CH0206550793273688901|CH8016460903045779129|3036.32|Payment of invoice(s) WriteTech
T45807W60915|2012-04-13 00:00:00|CH0240522825785605571|CH5113429654953071542|36769.24|Payment of invoice(s) Technohabitat
W77657U38948|2008-12-05 00:00:00|CH0248281695366099688|CH4859972362682465663|11348.55|Payment of invoice(s) Time  Council
Q59900E23263|2011-07-15 00:00:00|CH0234143718846267688|CH3565565295426810320|1502.26|Payment of invoice(s) Progressive Time
J52529Q80102|2010-12-17 00:00:00|CH0250407194135228410|CH8729499478213548344|5878.65|Payment of invoice(s) CranialTech
Q10906V92931|2008-03-28 00:00:00|CH0204884126669364759|CH9449043298339965395|3896.68|Payment of invoice(s) Sigh Co.
O86775K32929|2015-05-08 00:00:00|CH0224806721788063113|CH4702748652329494055|8597.55|Payment of invoice(s) Contreras, Myles
E92302G32464|2006-03-10 00:00:00|CH0201609149519657198|CH1396683322404415097|31410.64|Payment of invoice(s) Cytrex
C42498B31448|2016-04-01 00:00:00|CH0214401606376708007|CH9797517066913638834|14781.37|Payment of invoice(s) OpenSource Time
Z86051D59597|2008-03-14 00:00:00|CH0234139622897026693|CH3099329427195986553|10626.46|Payment of invoice(s) Techade
K94307P91643|2013-08-30 00:00:00|CH0225122731249592892|CH7557621605158040369|22405.29|Payment of invoice(s) Harper, Clementine
H85968Z70234|2015-05-08 00:00:00|CH0246225152084380466|CH6525051052542047010|23674.59|Payment of invoice(s) Suburban Time
X43290P82678|2013-04-26 00:00:00|CH0209336657619956939|CH1443469204088447401|39778.42|Payment of invoice(s) Neighborhood Time
B87887J94338|2011-04-29 00:00:00|CH0201609149519657198|CH9467652252739966512|6274.25|Payment of invoice(s) Americas Time
N21569S14437|2011-03-25 00:00:00|CH0218229960514553128|CH3514647971914614633|256.06|Payment of invoice(s) Design of the Times
L43939A19268|2013-01-25 00:00:00|CH0224806721788063113|CH1443469204088447401|13364.64|Payment of invoice(s) Neighborhood Time
V57827K22448|2014-01-31 00:00:00|CH0250407194135228410|CH8515468004216856140|59719.05|Payment of invoice(s) SecondTime
G81013V58739|2015-07-03 00:00:00|CH0236918036799637910|CH9318634853603420440|10070.16|Payment of invoice(s) Mustang Time
Q44910J46411|2014-03-21 00:00:00|CH0227578004931115071|CH8119090900291807523|2381.63|Payment of invoice(s) Techmania
G68894V37159|2011-10-21 00:00:00|CH0240522825785605571|CH4858680069098133364|65200.00|Payment of invoice(s) Time  North
V23189R55912|2014-01-10 00:00:00|CH0207993305365962502|CH8016460903045779129|22534.34|Payment of invoice(s) WriteTech
K16091O69236|2016-05-13 00:00:00|CH0206550793273688901|CH9681610501955543047|1098.84|Payment of invoice(s) Bernard, Willa
U53402Q37219|2013-04-05 00:00:00|CH0249176139269086161|CH2776009455955283091|36604.55|Payment of invoice(s) Aeora
C73018J58048|2013-01-11 00:00:00|CH0234139622897026693|CH9027477895350295117|14866.54|Payment of invoice(s) Cornerstone Time
Q89910V50303|2013-03-22 00:00:00|CH0201609149519657198|CH2776009455955283091|19636.13|Payment of invoice(s) Aeora
G69586H58923|2012-12-07 00:00:00|CH0209336657619956939|CH3146115032200851604|12325.00|Payment of invoice(s) Impulse Time
N96689E94418|2011-04-29 00:00:00|CH0248281695366099688|CH9467652252739966512|30865.57|Payment of invoice(s) Americas Time
M33396P60621|2009-09-04 00:00:00|CH0214151982011227631|CH1843640612996083104|28912.32|Payment of invoice(s) Time  Custom
P15748T97134|2014-06-13 00:00:00|CH0214894598926922337|CH4385645604347036714|6813.60|Payment of invoice(s) Just Time
S69980A61590|2012-06-22 00:00:00|CH0219850911967777927|CH5966588287840537342|45866.54|Payment of invoice(s) Ultrimax
H76221A32694|2015-04-17 00:00:00|CH0231003557422817970|CH3660100928827682021|6266.61|Payment of invoice(s) Semantic Time
K33124L79801|2011-04-01 00:00:00|CH0215694012443589673|CH0975382478571743488|807.83|Payment of invoice(s) Catalyst Time
K61578S50672|2012-12-14 00:00:00|CH0204884126669364759|CH3146115032200851604|43484.03|Payment of invoice(s) Impulse Time
T78028I39199|2009-01-30 00:00:00|CH0249176139269086161|CH6155222698252816217|38682.97|Payment of invoice(s) Hourglass Etching
H58791Z37474|2013-12-20 00:00:00|CH0218229960514553128|CH1358263686244215866|40405.48|Payment of invoice(s) Genmex
S61549E38821|2011-03-25 00:00:00|CH0223943235385824696|CH3514647971914614633|13010.54|Payment of invoice(s) Design of the Times
S85853D10777|2012-11-09 00:00:00|CH0250222882407221959|CH1813436760999770384|21399.10|Payment of invoice(s) Technology Wizard
K46286C93104|2015-06-19 00:00:00|CH0201609149519657198|CH1006820597721560021|12906.84|Payment of invoice(s) Time  Cupid
G57475Q37102|2014-03-21 00:00:00|CH0210540037202341452|CH3944952886896151839|29630.68|Payment of invoice(s) enCycle
O22320J40049|2011-12-02 00:00:00|CH0201609149519657198|CH5306138861270198557|48429.93|Payment of invoice(s) Tucker, Steel
O92741X36530|2015-12-18 00:00:00|CH0214894598926922337|CH2825850289822331123|7344.06|Payment of invoice(s) Strickland, Leroy
V18404P97012|2012-06-22 00:00:00|CH0214401606376708007|CH4827927844570438723|17904.26|Payment of invoice(s) Ebony Time
F19745Q68123|2011-04-29 00:00:00|CH0214401606376708007|CH3667715363523316758|8825.59|Payment of invoice(s) Real Time Medical
K40872E26484|2016-01-08 00:00:00|CH0228315136202810440|CH5039837041721813617|19149.87|Payment of invoice(s) Valent Technologies
Q36088B42768|2016-10-21 00:00:00|CH0240522825785605571|CH5039837041721813617|8017.30|Payment of invoice(s) Valent Technologies
W64248L38330|2011-08-26 00:00:00|CH0224806721788063113|CH0747760994091143568|946.71|Payment of invoice(s) NextTime
M81245Y52795|2010-03-26 00:00:00|CH0204884126669364759|CH3296083466398193738|8119.64|Payment of invoice(s) Specialty Time
U69343L40140|2015-07-17 00:00:00|CH0219850911967777927|CH6525051052542047010|831.07|Payment of invoice(s) Suburban Time
J88762P66023|2013-09-13 00:00:00|CH0237130733821422792|CH7557621605158040369|7388.86|Payment of invoice(s) Harper, Clementine
E46572L53013|2016-09-16 00:00:00|CH0224806721788063113|CH5039837041721813617|15595.18|Payment of invoice(s) Valent Technologies
M62094G73602|2014-02-07 00:00:00|CH0201609149519657198|CH8016460903045779129|5858.67|Payment of invoice(s) WriteTech
Y93327I11125|2013-01-18 00:00:00|CH0200974687337280877|CH9027477895350295117|22099.94|Payment of invoice(s) Cornerstone Time
G17553W59819|2012-12-07 00:00:00|CH0240522825785605571|CH3146115032200851604|72202.09|Payment of invoice(s) Impulse Time
J24374J69484|2014-01-24 00:00:00|CH0250222882407221959|CH5113429654953071542|1033.51|Payment of invoice(s) Technohabitat
X81962C29177|2010-04-23 00:00:00|CH0207993305365962502|CH7164967580455939097|4700.63|Payment of invoice(s) RedHot Time
P31959W26690|2016-03-18 00:00:00|CH0250222882407221959|CH9460991585208143427|2953.32|Payment of invoice(s) Zentime
Y39284M74997|2015-09-18 00:00:00|CH0206550793273688901|CH6525051052542047010|5632.24|Payment of invoice(s) Suburban Time
O77173H86461|2014-02-07 00:00:00|CH0248281695366099688|CH1358263686244215866|26332.39|Payment of invoice(s) Genmex
G82393R53412|2014-05-09 00:00:00|CH0228112131218563569|CH9681610501955543047|5467.45|Payment of invoice(s) Bernard, Willa
Q70854S77819|2013-02-08 00:00:00|CH0250222882407221959|CH4827927844570438723|8814.57|Payment of invoice(s) Ebony Time
N88832J92960|2009-08-14 00:00:00|CH0206003498982695304|CH1843640612996083104|14238.93|Payment of invoice(s) Time  Custom
I14674J78887|2015-09-11 00:00:00|CH0209049493360060612|CH9797517066913638834|15041.26|Payment of invoice(s) OpenSource Time
J15610L59694|2011-10-07 00:00:00|CH0240900251892652380|CH5331058502318833724|14872.48|Payment of invoice(s) Farrell, Samantha
O48003E80289|2011-06-10 00:00:00|CH0211681954985788087|CH0309890016342600758|21944.93|Payment of invoice(s) Time  Nano
Q81950D69859|2013-03-22 00:00:00|CH0224806721788063113|CH2776009455955283091|43177.73|Payment of invoice(s) Aeora
W74082N16378|2012-12-07 00:00:00|CH0223943235385824696|CH3146115032200851604|27460.16|Payment of invoice(s) Impulse Time
I59212F16898|2011-08-19 00:00:00|CH0250407194135228410|CH3565565295426810320|48576.20|Payment of invoice(s) Progressive Time
P46404G74059|2016-10-21 00:00:00|CH0228112131218563569|CH9436656786623704266|50218.48|Payment of invoice(s) Sign of the Times Advertising Agency
X86211D38699|2010-01-29 00:00:00|CH0207993305365962502|CH3296083466398193738|16287.21|Payment of invoice(s) Specialty Time
G30483M14309|2011-11-04 00:00:00|CH0207993305365962502|CH5113429654953071542|8871.79|Payment of invoice(s) Technohabitat
J72496C84718|2016-04-08 00:00:00|CH0234515455801405036|CH9460991585208143427|6551.65|Payment of invoice(s) Zentime
M51651I48237|2015-08-28 00:00:00|CH0211681954985788087|CH4385645604347036714|33227.47|Payment of invoice(s) Just Time
F12521J84095|2015-12-04 00:00:00|CH0209336657619956939|CH7010391221892072726|27963.55|Payment of invoice(s) Time  Avatar
U96419U68927|2011-12-09 00:00:00|CH0228315136202810440|CH5306138861270198557|10749.52|Payment of invoice(s) Tucker, Steel
A88842Q33559|2006-03-10 00:00:00|CH0215694012443589673|CH1396683322404415097|21600.00|Payment of invoice(s) Cytrex
C78539A48501|2008-11-07 00:00:00|CH0204884126669364759|CH9791001388567356681|70422.32|Payment of invoice(s) Saint Time
R74742F19113|2012-03-02 00:00:00|CH0211681954985788087|CH2284113576710807414|9477.40|Payment of invoice(s) NorthStar Time
M92213T15033|2011-04-29 00:00:00|CH0215694012443589673|CH9467652252739966512|8120.32|Payment of invoice(s) Americas Time
M96772B51561|2014-01-24 00:00:00|CH0237130733821422792|CH8515468004216856140|28393.61|Payment of invoice(s) SecondTime
U58921D98381|2014-03-28 00:00:00|CH0206550793273688901|CH5113429654953071542|7397.09|Payment of invoice(s) Technohabitat
V46176T32922|2014-10-24 00:00:00|CH0219850911967777927|CH9681610501955543047|37762.78|Payment of invoice(s) Bernard, Willa
P62328U70598|2012-09-28 00:00:00|CH0227578004931115071|CH9298162976623746233|6229.70|Payment of invoice(s) Midnight Time
P44466T12245|2012-10-12 00:00:00|CH0206003498982695304|CH3565565295426810320|20168.50|Payment of invoice(s) Progressive Time
M89085B89764|2013-03-15 00:00:00|CH0228112131218563569|CH5113429654953071542|2505.19|Payment of invoice(s) Technohabitat
A24933X71215|2013-01-18 00:00:00|CH0231003557422817970|CH9027477895350295117|11545.65|Payment of invoice(s) Cornerstone Time
U25222G80792|2014-01-17 00:00:00|CH0231003557422817970|CH8515468004216856140|1626.29|Payment of invoice(s) SecondTime
H43794R76950|2010-01-08 00:00:00|CH0234139622897026693|CH3296083466398193738|18198.31|Payment of invoice(s) Specialty Time
H77782G92654|2011-04-08 00:00:00|CH0223943235385824696|CH8619980845374894676|18206.23|Payment of invoice(s) Tucker, Amos
C36648O78898|2012-04-27 00:00:00|CH0206003498982695304|CH3061963907498411463|2400.00|Payment of invoice(s) Moving with the Times
V71986R12985|2011-06-10 00:00:00|CH0251073611707606644|CH0309890016342600758|31411.47|Payment of invoice(s) Time  Nano
V21870G31715|2013-01-18 00:00:00|CH0218229960514553128|CH8616261051059395320|660.63|Payment of invoice(s) Prospect Time
M43847O66976|2011-11-18 00:00:00|CH0228112131218563569|CH6389002244580245381|1376.81|Payment of invoice(s) Sin Thesis
E96635D77686|2011-11-18 00:00:00|CH0224806721788063113|CH1212759137980150044|7680.66|Payment of invoice(s) Plasma Time
B97329S69796|2013-05-17 00:00:00|CH0204884126669364759|CH8988352604215975853|21415.53|Payment of invoice(s) Time  Urban
C82498Y62192|2011-11-25 00:00:00|CH0214894598926922337|CH6389002244580245381|14910.37|Payment of invoice(s) Sin Thesis
R31627A12895|2010-06-25 00:00:00|CH0228112131218563569|CH2942996515512723075|11792.31|Payment of invoice(s) Wells, Julie
Z19893Z55708|2014-11-07 00:00:00|CH0218229960514553128|CH1358263686244215866|9988.33|Payment of invoice(s) Genmex
D51401R92749|2011-05-20 00:00:00|CH0246225152084380466|CH9387343052322901266|10802.01|Payment of invoice(s) Displaytech
K93696O17675|2013-04-26 00:00:00|CH0227578004931115071|CH6067246472234989020|8913.45|Payment of invoice(s) Nikuda
J76362I87883|2016-01-29 00:00:00|CH0228112131218563569|CH5039837041721813617|9637.65|Payment of invoice(s) Valent Technologies
K91075V98850|2014-10-03 00:00:00|CH0200974687337280877|CH9657399602049395479|29765.92|Payment of invoice(s) Candid Time
M90985S38625|2014-06-06 00:00:00|CH0214894598926922337|CH8016460903045779129|9817.49|Payment of invoice(s) WriteTech
T16136J71909|2010-06-25 00:00:00|CH0209336657619956939|CH2942996515512723075|287.69|Payment of invoice(s) Wells, Julie
N79815T52379|2012-06-22 00:00:00|CH0240522825785605571|CH5966588287840537342|414.21|Payment of invoice(s) Ultrimax
T71729B32771|2014-05-23 00:00:00|CH0214894598926922337|CH8016460903045779129|19647.06|Payment of invoice(s) WriteTech
O31339W53298|2016-01-08 00:00:00|CH0228112131218563569|CH3276374414353537218|7843.63|Payment of invoice(s) Time  Iron
M22909X79255|2014-06-13 00:00:00|CH0231003557422817970|CH3944952886896151839|10588.51|Payment of invoice(s) enCycle
H93088N25387|2015-12-11 00:00:00|CH0200974687337280877|CH2825850289822331123|28446.67|Payment of invoice(s) Strickland, Leroy
C87087J62192|2015-01-09 00:00:00|CH0230382548836512713|CH3662109453683414593|16341.96|Payment of invoice(s) Prism Time
X21682Q39183|2013-04-05 00:00:00|CH0224806721788063113|CH2776009455955283091|43588.27|Payment of invoice(s) Aeora
I74912H51938|2010-04-23 00:00:00|CH0231003557422817970|CH7164967580455939097|12822.92|Payment of invoice(s) RedHot Time
Y97112S66791|2011-07-15 00:00:00|CH0200974687337280877|CH0975382478571743488|40901.97|Payment of invoice(s) Catalyst Time
F29604N38320|2015-04-24 00:00:00|CH0240522825785605571|CH1006820597721560021|20222.10|Payment of invoice(s) Time  Cupid
L32141A41504|2015-04-17 00:00:00|CH0236918036799637910|CH4702748652329494055|8145.95|Payment of invoice(s) Contreras, Myles
L65655U38409|2014-09-19 00:00:00|CH0200974687337280877|CH4385645604347036714|15080.78|Payment of invoice(s) Just Time
C55180T66940|2016-08-12 00:00:00|CH0219850911967777927|CH5039837041721813617|34828.74|Payment of invoice(s) Valent Technologies
R84767M72504|2015-08-14 00:00:00|CH0240900251892652380|CH1006820597721560021|30256.66|Payment of invoice(s) Time  Cupid
Q62195P42797|2012-12-07 00:00:00|CH0228315136202810440|CH8016460903045779129|245.37|Payment of invoice(s) WriteTech
D48456X78887|2011-04-29 00:00:00|CH0228112131218563569|CH8619980845374894676|10080.71|Payment of invoice(s) Tucker, Amos
I17313D28947|2010-01-15 00:00:00|CH0234139622897026693|CH1843640612996083104|20453.63|Payment of invoice(s) Time  Custom
Y87149A98933|2016-07-15 00:00:00|CH0210540037202341452|CH9436656786623704266|21756.46|Payment of invoice(s) Sign of the Times Advertising Agency
R76937F97606|2015-04-17 00:00:00|CH0204884126669364759|CH3660100928827682021|21905.98|Payment of invoice(s) Semantic Time
E74111R63204|2012-03-02 00:00:00|CH0251073611707606644|CH2284113576710807414|47140.12|Payment of invoice(s) NorthStar Time
M12109E60234|2016-01-08 00:00:00|CH0206550793273688901|CH9204116784019962130|5699.13|Payment of invoice(s) OneStop Time
A52875K99982|2008-01-04 00:00:00|CH0209049493360060612|CH7620394968875518984|20382.73|Payment of invoice(s) Furnitech
A25590D47016|2009-04-17 00:00:00|CH0227578004931115071|CH3068272525733417130|29181.72|Payment of invoice(s) Realtime Time
M55291U48711|2011-11-11 00:00:00|CH0240900251892652380|CH1666656057224772762|1220.78|Payment of invoice(s) Pinpoint Matrix Systems
V92599C32756|2011-10-07 00:00:00|CH0225122731249592892|CH5331058502318833724|23101.82|Payment of invoice(s) Farrell, Samantha
Q28691V36671|2012-10-26 00:00:00|CH0224806721788063113|CH8988352604215975853|7090.86|Payment of invoice(s) Time  Urban
S30452K21042|2015-04-17 00:00:00|CH0206550793273688901|CH9681610501955543047|11363.97|Payment of invoice(s) Bernard, Willa
S95690A38919|2015-04-17 00:00:00|CH0219850911967777927|CH3660100928827682021|28840.76|Payment of invoice(s) Semantic Time
Y83320S90006|2014-07-25 00:00:00|CH0248281695366099688|CH1358263686244215866|39205.26|Payment of invoice(s) Genmex
I68150Y20038|2013-11-15 00:00:00|CH0215694012443589673|CH1443469204088447401|10128.75|Payment of invoice(s) Neighborhood Time
J32910B25337|2015-12-18 00:00:00|CH0219850911967777927|CH5039837041721813617|618.29|Payment of invoice(s) Valent Technologies
K42486L24270|2016-08-26 00:00:00|CH0234143718846267688|CH9436656786623704266|6943.55|Payment of invoice(s) Sign of the Times Advertising Agency
Q44387E91572|2012-12-14 00:00:00|CH0200974687337280877|CH3146115032200851604|20470.27|Payment of invoice(s) Impulse Time
U83227O63442|2011-04-29 00:00:00|CH0209049493360060612|CH9467652252739966512|4652.21|Payment of invoice(s) Americas Time
I49393D30512|2015-12-04 00:00:00|CH0207993305365962502|CH7010391221892072726|3769.95|Payment of invoice(s) Time  Avatar
P33416X60640|2012-12-07 00:00:00|CH0206550793273688901|CH3146115032200851604|41521.90|Payment of invoice(s) Impulse Time
H84028T64411|2015-04-24 00:00:00|CH0206550793273688901|CH4702748652329494055|23558.48|Payment of invoice(s) Contreras, Myles
F92325R95459|2015-07-03 00:00:00|CH0214151982011227631|CH1006820597721560021|17385.12|Payment of invoice(s) Time  Cupid
S88520R55446|2013-03-22 00:00:00|CH0234143718846267688|CH2776009455955283091|74889.41|Payment of invoice(s) Aeora
D58695L26722|2012-11-30 00:00:00|CH0204884126669364759|CH8988352604215975853|36276.43|Payment of invoice(s) Time  Urban
P38443D72359|2015-05-08 00:00:00|CH0234143718846267688|CH9318634853603420440|1296.38|Payment of invoice(s) Mustang Time
N79914J34355|2015-10-02 00:00:00|CH0234143718846267688|CH3276374414353537218|3400.00|Payment of invoice(s) Time  Iron
K62563R18637|2011-10-07 00:00:00|CH0210540037202341452|CH5331058502318833724|18077.41|Payment of invoice(s) Farrell, Samantha
K57141T88676|2013-03-22 00:00:00|CH0223943235385824696|CH2776009455955283091|10200.35|Payment of invoice(s) Aeora
Z83359H13832|2013-02-01 00:00:00|CH0219850911967777927|CH5016167931570684520|8478.15|Payment of invoice(s) Lighthouse Time
G19304P36713|2015-01-09 00:00:00|CH0209049493360060612|CH1358263686244215866|22565.25|Payment of invoice(s) Genmex
I94109D92350|2016-01-15 00:00:00|CH0240900251892652380|CH9797517066913638834|33807.71|Payment of invoice(s) OpenSource Time
E67457D68157|2005-12-30 00:00:00|CH0206550793273688901|CH4154911007648432776|7099.14|Payment of invoice(s) Tuliptime Tunefest
L11995R25942|2013-05-03 00:00:00|CH0250222882407221959|CH6067246472234989020|16290.90|Payment of invoice(s) Nikuda
B77490R42888|2011-10-07 00:00:00|CH0200974687337280877|CH5331058502318833724|27554.67|Payment of invoice(s) Farrell, Samantha
V26833Y20653|2012-05-04 00:00:00|CH0234143718846267688|CH4296421323470854890|12807.22|Payment of invoice(s) Time  Hands
U49551Q41653|2012-11-23 00:00:00|CH0210540037202341452|CH4574413380911406657|30843.96|Payment of invoice(s) Time  Alternative
R10364J34635|2011-09-30 00:00:00|CH0201609149519657198|CH5331058502318833724|8308.04|Payment of invoice(s) Farrell, Samantha
B78547T58992|2010-12-17 00:00:00|CH0248281695366099688|CH8729499478213548344|10685.83|Payment of invoice(s) CranialTech
W54560R62467|2008-03-28 00:00:00|CH0240900251892652380|CH9449043298339965395|42749.30|Payment of invoice(s) Sigh Co.
O72561X25108|2014-12-05 00:00:00|CH0240900251892652380|CH1358263686244215866|2713.22|Payment of invoice(s) Genmex
U78789R41524|2011-07-15 00:00:00|CH0223943235385824696|CH3792097181326358410|16867.99|Payment of invoice(s) Triad Time
O34739J36413|2016-03-11 00:00:00|CH0218229960514553128|CH9460991585208143427|37888.54|Payment of invoice(s) Zentime
